"16777216","16777471","17"
"16777472","16778239","49"
"16778240","16778495","14409"
"16778496","16778527","204204"
"16778528","16778751","14409"
"16778752","16779263","17"
"16779264","16781311","49"
"16781312","16785407","14614"
"16785408","16793599","47667"
"16793600","16809983","111"
"16809984","16810239","22537"
"16810240","16811007","209"
"16811008","16811263","186241"
"16811264","16811519","22537"
"16811520","16812031","449853"
"16812032","16814335","209"
"16814336","16814591","111885"
"16814592","16815103","209"
"16815104","16815359","22537"
"16815360","16817663","209"
"16817664","16817919","22537"
"16817920","16818175","111885"
"16818176","16819711","209"
"16819712","16819967","22537"
"16819968","16821759","209"
"16821760","16822015","22537"
"16822016","16822271","111801"
"16822272","16824063","209"
"16824064","16824319","253018"
"16824320","16824575","22537"
"16824576","16824831","209"
"16824832","16825087","111801"
"16825088","16825343","209"
"16825344","16825599","111801"
"16825600","16825855","209"
"16825856","16826111","253018"
"16826112","16828415","209"
